TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0043235	"receptor complex"	-1.7958800173440752	5.214149481337109	0.5084361928367933	0.5475090586791009	0	null
GO:1902495	"transmembrane transporter complex"	-1.6020599913279623	5.844497057155296	2.1706313192186037	0.5114694010778764	0.25965599	null
GO:1990351	"transporter complex"	-1.585026652029182	5.856817069183332	2.233089319442861	0.5108896180807876	0.31000223	null
